dataset_id,sampleID,SampleName,xrd_pattern_count,xrd_folder_url,xrd_matrix_filename,xrd_matrix_online_url,dsc_csv_filename,dsc_csv_online_url,dsc_001_filename,dsc_001_online_url,matched_csv_filename,file_manifest_filename,recommended_github_folder,alignment_method
AWE1,sa066015,MC5-3-edge,362,https://www.dropbox.com/scl/fo/1cjd2t5se7bk6xm5vz9bw/AOyBmjr8wvf2hhtiFUO0IXo/AWE/AWE/AWE1?dl=0&rlkey=aefi4orbk3a0ylmgey52kkdrz&subfolder_nav_tracking=1,AWE1_AWE_XRD_matrix.csv,https://www.dropbox.com/scl/fo/1cjd2t5se7bk6xm5vz9bw/AA_ZT3ZMz1l1jELWoCIg3jc/AWE/AWE?dl=0&preview=AWE1_AWE_XRD_matrix.csv&rlkey=aefi4orbk3a0ylmgey52kkdrz,AWE1_DSC.csv,https://www.dropbox.com/scl/fo/1cjd2t5se7bk6xm5vz9bw/AA_ZT3ZMz1l1jELWoCIg3jc/AWE/AWE?dl=0&preview=AWE1_DSC.csv&rlkey=aefi4orbk3a0ylmgey52kkdrz,AWE S1.001,,xrd_dsc_matched_AWE1_MC5-3-edge.csv,file_manifest_AWE1_MC5-3-edge.csv,XRD_DSC_DiamondLightSource/Data/Metadata/,ordered XRD sequence mapped to selected DSC first-heating temperature ramp
AWE2,sa066017,MC8-1-edge,596,https://www.dropbox.com/scl/fo/1cjd2t5se7bk6xm5vz9bw/AAlVpCn_M8aV3NBFdeRsraQ/AWE/AWE/AWE2?dl=0&rlkey=aefi4orbk3a0ylmgey52kkdrz&subfolder_nav_tracking=1,AWE2_AWE_XRD_matrix.csv,https://www.dropbox.com/scl/fo/1cjd2t5se7bk6xm5vz9bw/AA_ZT3ZMz1l1jELWoCIg3jc/AWE/AWE?dl=0&preview=AWE2_AWE_XRD_matrix.csv&rlkey=aefi4orbk3a0ylmgey52kkdrz&subfolder_nav_tracking=1,AWE2_DSC.csv,https://www.dropbox.com/scl/fo/1cjd2t5se7bk6xm5vz9bw/AA_ZT3ZMz1l1jELWoCIg3jc/AWE/AWE?dl=0&preview=AWE2_DSC.csv&rlkey=aefi4orbk3a0ylmgey52kkdrz&subfolder_nav_tracking=1,D12_AWE_S2.001,https://www.dropbox.com/scl/fo/1cjd2t5se7bk6xm5vz9bw/AA_ZT3ZMz1l1jELWoCIg3jc/AWE/AWE?dl=0&preview=D12_AWE_S2.001&rlkey=aefi4orbk3a0ylmgey52kkdrz&subfolder_nav_tracking=1,xrd_dsc_matched_AWE2_MC8-1-edge.csv,file_manifest_AWE2_MC8-1-edge.csv,XRD_DSC_DiamondLightSource/Data/Metadata/,ordered XRD sequence mapped to selected DSC first-heating temperature ramp
