sampleID,SampleName,run_number,dat_filename,nxs_filename,dat_dropbox_link,nxs_dropbox_link,xrd_csv_source_name,matrix_csv_source_link,matrix_csv_dat_column,matrix_csv_dat_column_letter,nxs_filename_processed_time_not_used_for_alignment,nxs_processed_metadata_times_not_used,dsc_match_method,dsc_row_number,dsc_temperature_c,dsc_heat_flow,dsc_heat_flow_units,dsc_temperature_cell,dsc_heat_flow_cell,dsc_curve_pair_label,dsc_csv_source_link,dsc_001_size_mg,dsc_001_start_datetime
sa066015,MC5-3-edge ,171193,171193_00000.dat,171193_processed_250820_133018.nxs,https://www.dropbox.com/scl/fo/1cjd2t5se7bk6xm5vz9bw/AOyBmjr8wvf2hhtiFUO0IXo/AWE/AWE/AWE1?dl=0&rlkey=aefi4orbk3a0ylmgey52kkdrz&subfolder_nav_tracking=1&preview=171193_00000.dat,https://www.dropbox.com/scl/fo/1cjd2t5se7bk6xm5vz9bw/AOyBmjr8wvf2hhtiFUO0IXo/AWE/AWE/AWE1?dl=0&rlkey=aefi4orbk3a0ylmgey52kkdrz&subfolder_nav_tracking=1&preview=171193_processed_250820_133018.nxs,AWE1_AWE_XRD_matrix,https://www.dropbox.com/scl/fo/1cjd2t5se7bk6xm5vz9bw/AA_ZT3ZMz1l1jELWoCIg3jc/AWE/AWE?dl=0&preview=AWE1_AWE_XRD_matrix.csv&rlkey=aefi4orbk3a0ylmgey52kkdrz,2,B,20/08/2025 13:30,/processed/process/date=2025-08-20T13:30:00+01:00 | binary_scan_diagnostic_only=2025-08-20T13:30:00+01:00,ordered_xrd_sequence_to_selected_dsc_temperature_ramp,985,-28.50431,0.8936164,mW or source units,A985,B985,"AWE1_DSC columns A:B - first heating, segment 3, -30 C to 200 C at 10 C/min",https://www.dropbox.com/scl/fo/1cjd2t5se7bk6xm5vz9bw/AA_ZT3ZMz1l1jELWoCIg3jc/AWE/AWE?dl=0&preview=AWE1_DSC.csv&rlkey=aefi4orbk3a0ylmgey52kkdrz,11.2000 mg,05/07/2025 09:11
sa066015,MC5-3-edge ,171195,171195_00000.dat,171195_processed_250820_133149.nxs,https://www.dropbox.com/scl/fo/1cjd2t5se7bk6xm5vz9bw/AOyBmjr8wvf2hhtiFUO0IXo/AWE/AWE/AWE1?dl=0&rlkey=aefi4orbk3a0ylmgey52kkdrz&subfolder_nav_tracking=1&preview=171195_00000.dat,https://www.dropbox.com/scl/fo/1cjd2t5se7bk6xm5vz9bw/AOyBmjr8wvf2hhtiFUO0IXo/AWE/AWE/AWE1?dl=0&rlkey=aefi4orbk3a0ylmgey52kkdrz&subfolder_nav_tracking=1&preview=171195_processed_250820_133149.nxs,AWE1_AWE_XRD_matrix,https://www.dropbox.com/scl/fo/1cjd2t5se7bk6xm5vz9bw/AA_ZT3ZMz1l1jELWoCIg3jc/AWE/AWE?dl=0&preview=AWE1_AWE_XRD_matrix.csv&rlkey=aefi4orbk3a0ylmgey52kkdrz,3,C,20/08/2025 13:31,/processed/process/date=2025-08-20T13:31:00+01:00 | binary_scan_diagnostic_only=2025-08-20T13:31:00+01:00,ordered_xrd_sequence_to_selected_dsc_temperature_ramp,1005,-28.88099,0.8699335,mW or source units,A1005,B1005,"AWE1_DSC columns A:B - first heating, segment 3, -30 C to 200 C at 10 C/min",https://www.dropbox.com/scl/fo/1cjd2t5se7bk6xm5vz9bw/AA_ZT3ZMz1l1jELWoCIg3jc/AWE/AWE?dl=0&preview=AWE1_DSC.csv&rlkey=aefi4orbk3a0ylmgey52kkdrz,11.2000 mg,05/07/2025 09:11
sa066015,MC5-3-edge ,171197,171197_00000.dat,171197_processed_250820_133149.nxs,https://www.dropbox.com/scl/fo/1cjd2t5se7bk6xm5vz9bw/AOyBmjr8wvf2hhtiFUO0IXo/AWE/AWE/AWE1?dl=0&rlkey=aefi4orbk3a0ylmgey52kkdrz&subfolder_nav_tracking=1&preview=171197_00000.dat,https://www.dropbox.com/scl/fo/1cjd2t5se7bk6xm5vz9bw/AOyBmjr8wvf2hhtiFUO0IXo/AWE/AWE/AWE1?dl=0&rlkey=aefi4orbk3a0ylmgey52kkdrz&subfolder_nav_tracking=1&preview=171197_processed_250820_133149.nxs,AWE1_AWE_XRD_matrix,https://www.dropbox.com/scl/fo/1cjd2t5se7bk6xm5vz9bw/AA_ZT3ZMz1l1jELWoCIg3jc/AWE/AWE?dl=0&preview=AWE1_AWE_XRD_matrix.csv&rlkey=aefi4orbk3a0ylmgey52kkdrz,4,D,20/08/2025 13:31,/processed/process/date=2025-08-20T13:31:00+01:00 | binary_scan_diagnostic_only=2025-08-20T13:31:00+01:00,ordered_xrd_sequence_to_selected_dsc_temperature_ramp,1025,-29.24268,0.8467524,mW or source units,A1025,B1025,"AWE1_DSC columns A:B - first heating, segment 3, -30 C to 200 C at 10 C/min",https://www.dropbox.com/scl/fo/1cjd2t5se7bk6xm5vz9bw/AA_ZT3ZMz1l1jELWoCIg3jc/AWE/AWE?dl=0&preview=AWE1_DSC.csv&rlkey=aefi4orbk3a0ylmgey52kkdrz,11.2000 mg,05/07/2025 09:11
sa066015,MC5-3-edge ,171199,171199_00000.dat,171199_processed_250820_133149.nxs,https://www.dropbox.com/scl/fo/1cjd2t5se7bk6xm5vz9bw/AOyBmjr8wvf2hhtiFUO0IXo/AWE/AWE/AWE1?dl=0&rlkey=aefi4orbk3a0ylmgey52kkdrz&subfolder_nav_tracking=1&preview=171199_00000.dat,https://www.dropbox.com/scl/fo/1cjd2t5se7bk6xm5vz9bw/AOyBmjr8wvf2hhtiFUO0IXo/AWE/AWE/AWE1?dl=0&rlkey=aefi4orbk3a0ylmgey52kkdrz&subfolder_nav_tracking=1&preview=171199_processed_250820_133149.nxs,AWE1_AWE_XRD_matrix,https://www.dropbox.com/scl/fo/1cjd2t5se7bk6xm5vz9bw/AA_ZT3ZMz1l1jELWoCIg3jc/AWE/AWE?dl=0&preview=AWE1_AWE_XRD_matrix.csv&rlkey=aefi4orbk3a0ylmgey52kkdrz,5,E,20/08/2025 13:31,/processed/process/date=2025-08-20T13:31:00+01:00 | binary_scan_diagnostic_only=2025-08-20T13:31:00+01:00,ordered_xrd_sequence_to_selected_dsc_temperature_ramp,1044,-29.49452,0.7990481,mW or source units,A1044,B1044,"AWE1_DSC columns A:B - first heating, segment 3, -30 C to 200 C at 10 C/min",https://www.dropbox.com/scl/fo/1cjd2t5se7bk6xm5vz9bw/AA_ZT3ZMz1l1jELWoCIg3jc/AWE/AWE?dl=0&preview=AWE1_DSC.csv&rlkey=aefi4orbk3a0ylmgey52kkdrz,11.2000 mg,05/07/2025 09:11
sa066015,MC5-3-edge ,171201,171201_00000.dat,171201_processed_250820_133148.nxs,https://www.dropbox.com/scl/fo/1cjd2t5se7bk6xm5vz9bw/AOyBmjr8wvf2hhtiFUO0IXo/AWE/AWE/AWE1?dl=0&rlkey=aefi4orbk3a0ylmgey52kkdrz&subfolder_nav_tracking=1&preview=171201_00000.dat,https://www.dropbox.com/scl/fo/1cjd2t5se7bk6xm5vz9bw/AOyBmjr8wvf2hhtiFUO0IXo/AWE/AWE/AWE1?dl=0&rlkey=aefi4orbk3a0ylmgey52kkdrz&subfolder_nav_tracking=1&preview=171201_processed_250820_133148.nxs,AWE1_AWE_XRD_matrix,https://www.dropbox.com/scl/fo/1cjd2t5se7bk6xm5vz9bw/AA_ZT3ZMz1l1jELWoCIg3jc/AWE/AWE?dl=0&preview=AWE1_AWE_XRD_matrix.csv&rlkey=aefi4orbk3a0ylmgey52kkdrz,6,F,20/08/2025 13:31,/processed/process/date=2025-08-20T13:31:00+01:00 | binary_scan_diagnostic_only=2025-08-20T13:31:00+01:00,ordered_xrd_sequence_to_selected_dsc_temperature_ramp,1064,-29.62797,0.7717944,mW or source units,A1064,B1064,"AWE1_DSC columns A:B - first heating, segment 3, -30 C to 200 C at 10 C/min",https://www.dropbox.com/scl/fo/1cjd2t5se7bk6xm5vz9bw/AA_ZT3ZMz1l1jELWoCIg3jc/AWE/AWE?dl=0&preview=AWE1_DSC.csv&rlkey=aefi4orbk3a0ylmgey52kkdrz,11.2000 mg,05/07/2025 09:11
sa066015,MC5-3-edge ,171203,171203_00000.dat,171203_processed_250820_133148.nxs,https://www.dropbox.com/scl/fo/1cjd2t5se7bk6xm5vz9bw/AOyBmjr8wvf2hhtiFUO0IXo/AWE/AWE/AWE1?dl=0&rlkey=aefi4orbk3a0ylmgey52kkdrz&subfolder_nav_tracking=1&preview=171203_00000.dat,https://www.dropbox.com/scl/fo/1cjd2t5se7bk6xm5vz9bw/AOyBmjr8wvf2hhtiFUO0IXo/AWE/AWE/AWE1?dl=0&rlkey=aefi4orbk3a0ylmgey52kkdrz&subfolder_nav_tracking=1&preview=171203_processed_250820_133148.nxs,AWE1_AWE_XRD_matrix,https://www.dropbox.com/scl/fo/1cjd2t5se7bk6xm5vz9bw/AA_ZT3ZMz1l1jELWoCIg3jc/AWE/AWE?dl=0&preview=AWE1_AWE_XRD_matrix.csv&rlkey=aefi4orbk3a0ylmgey52kkdrz,7,G,20/08/2025 13:31,/processed/process/date=2025-08-20T13:31:00+01:00 | binary_scan_diagnostic_only=2025-08-20T13:31:00+01:00,ordered_xrd_sequence_to_selected_dsc_temperature_ramp,1084,-29.72092,0.7494734,mW or source units,A1084,B1084,"AWE1_DSC columns A:B - first heating, segment 3, -30 C to 200 C at 10 C/min",https://www.dropbox.com/scl/fo/1cjd2t5se7bk6xm5vz9bw/AA_ZT3ZMz1l1jELWoCIg3jc/AWE/AWE?dl=0&preview=AWE1_DSC.csv&rlkey=aefi4orbk3a0ylmgey52kkdrz,11.2000 mg,05/07/2025 09:11
sa066015,MC5-3-edge ,171205,171205_00000.dat,171205_processed_250820_133148.nxs,https://www.dropbox.com/scl/fo/1cjd2t5se7bk6xm5vz9bw/AOyBmjr8wvf2hhtiFUO0IXo/AWE/AWE/AWE1?dl=0&rlkey=aefi4orbk3a0ylmgey52kkdrz&subfolder_nav_tracking=1&preview=171205_00000.dat,https://www.dropbox.com/scl/fo/1cjd2t5se7bk6xm5vz9bw/AOyBmjr8wvf2hhtiFUO0IXo/AWE/AWE/AWE1?dl=0&rlkey=aefi4orbk3a0ylmgey52kkdrz&subfolder_nav_tracking=1&preview=171205_processed_250820_133148.nxs,AWE1_AWE_XRD_matrix,https://www.dropbox.com/scl/fo/1cjd2t5se7bk6xm5vz9bw/AA_ZT3ZMz1l1jELWoCIg3jc/AWE/AWE?dl=0&preview=AWE1_AWE_XRD_matrix.csv&rlkey=aefi4orbk3a0ylmgey52kkdrz,8,H,20/08/2025 13:31,/processed/process/date=2025-08-20T13:31:00+01:00 | binary_scan_diagnostic_only=2025-08-20T13:31:00+01:00,ordered_xrd_sequence_to_selected_dsc_temperature_ramp,1104,-29.79805,0.7293032,mW or source units,A1104,B1104,"AWE1_DSC columns A:B - first heating, segment 3, -30 C to 200 C at 10 C/min",https://www.dropbox.com/scl/fo/1cjd2t5se7bk6xm5vz9bw/AA_ZT3ZMz1l1jELWoCIg3jc/AWE/AWE?dl=0&preview=AWE1_DSC.csv&rlkey=aefi4orbk3a0ylmgey52kkdrz,11.2000 mg,05/07/2025 09:11
sa066015,MC5-3-edge ,171207,171207_00000.dat,171207_processed_250820_133147.nxs,https://www.dropbox.com/scl/fo/1cjd2t5se7bk6xm5vz9bw/AOyBmjr8wvf2hhtiFUO0IXo/AWE/AWE/AWE1?dl=0&rlkey=aefi4orbk3a0ylmgey52kkdrz&subfolder_nav_tracking=1&preview=171207_00000.dat,https://www.dropbox.com/scl/fo/1cjd2t5se7bk6xm5vz9bw/AOyBmjr8wvf2hhtiFUO0IXo/AWE/AWE/AWE1?dl=0&rlkey=aefi4orbk3a0ylmgey52kkdrz&subfolder_nav_tracking=1&preview=171207_processed_250820_133147.nxs,AWE1_AWE_XRD_matrix,https://www.dropbox.com/scl/fo/1cjd2t5se7bk6xm5vz9bw/AA_ZT3ZMz1l1jELWoCIg3jc/AWE/AWE?dl=0&preview=AWE1_AWE_XRD_matrix.csv&rlkey=aefi4orbk3a0ylmgey52kkdrz,9,I,20/08/2025 13:31,/processed/process/date=2025-08-20T13:31:00+01:00 | binary_scan_diagnostic_only=2025-08-20T13:31:00+01:00,ordered_xrd_sequence_to_selected_dsc_temperature_ramp,1124,-29.86348,0.7086658,mW or source units,A1124,B1124,"AWE1_DSC columns A:B - first heating, segment 3, -30 C to 200 C at 10 C/min",https://www.dropbox.com/scl/fo/1cjd2t5se7bk6xm5vz9bw/AA_ZT3ZMz1l1jELWoCIg3jc/AWE/AWE?dl=0&preview=AWE1_DSC.csv&rlkey=aefi4orbk3a0ylmgey52kkdrz,11.2000 mg,05/07/2025 09:11
sa066015,MC5-3-edge ,171209,171209_00000.dat,171209_processed_250820_133147.nxs,https://www.dropbox.com/scl/fo/1cjd2t5se7bk6xm5vz9bw/AOyBmjr8wvf2hhtiFUO0IXo/AWE/AWE/AWE1?dl=0&rlkey=aefi4orbk3a0ylmgey52kkdrz&subfolder_nav_tracking=1&preview=171209_00000.dat,https://www.dropbox.com/scl/fo/1cjd2t5se7bk6xm5vz9bw/AOyBmjr8wvf2hhtiFUO0IXo/AWE/AWE/AWE1?dl=0&rlkey=aefi4orbk3a0ylmgey52kkdrz&subfolder_nav_tracking=1&preview=171209_processed_250820_133147.nxs,AWE1_AWE_XRD_matrix,https://www.dropbox.com/scl/fo/1cjd2t5se7bk6xm5vz9bw/AA_ZT3ZMz1l1jELWoCIg3jc/AWE/AWE?dl=0&preview=AWE1_AWE_XRD_matrix.csv&rlkey=aefi4orbk3a0ylmgey52kkdrz,10,J,20/08/2025 13:31,/processed/process/date=2025-08-20T13:31:00+01:00 | binary_scan_diagnostic_only=2025-08-20T13:31:00+01:00,ordered_xrd_sequence_to_selected_dsc_temperature_ramp,1143,-29.9209,0.6893849,mW or source units,A1143,B1143,"AWE1_DSC columns A:B - first heating, segment 3, -30 C to 200 C at 10 C/min",https://www.dropbox.com/scl/fo/1cjd2t5se7bk6xm5vz9bw/AA_ZT3ZMz1l1jELWoCIg3jc/AWE/AWE?dl=0&preview=AWE1_DSC.csv&rlkey=aefi4orbk3a0ylmgey52kkdrz,11.2000 mg,05/07/2025 09:11
sa066015,MC5-3-edge ,171211,171211_00000.dat,171211_processed_250820_133147.nxs,https://www.dropbox.com/scl/fo/1cjd2t5se7bk6xm5vz9bw/AOyBmjr8wvf2hhtiFUO0IXo/AWE/AWE/AWE1?dl=0&rlkey=aefi4orbk3a0ylmgey52kkdrz&subfolder_nav_tracking=1&preview=171211_00000.dat,https://www.dropbox.com/scl/fo/1cjd2t5se7bk6xm5vz9bw/AOyBmjr8wvf2hhtiFUO0IXo/AWE/AWE/AWE1?dl=0&rlkey=aefi4orbk3a0ylmgey52kkdrz&subfolder_nav_tracking=1&preview=171211_processed_250820_133147.nxs,AWE1_AWE_XRD_matrix,https://www.dropbox.com/scl/fo/1cjd2t5se7bk6xm5vz9bw/AA_ZT3ZMz1l1jELWoCIg3jc/AWE/AWE?dl=0&preview=AWE1_AWE_XRD_matrix.csv&rlkey=aefi4orbk3a0ylmgey52kkdrz,11,K,20/08/2025 13:31,/processed/process/date=2025-08-20T13:31:00+01:00 | binary_scan_diagnostic_only=2025-08-20T13:31:00+01:00,ordered_xrd_sequence_to_selected_dsc_temperature_ramp,1163,-29.97616,0.6701335,mW or source units,A1163,B1163,"AWE1_DSC columns A:B - first heating, segment 3, -30 C to 200 C at 10 C/min",https://www.dropbox.com/scl/fo/1cjd2t5se7bk6xm5vz9bw/AA_ZT3ZMz1l1jELWoCIg3jc/AWE/AWE?dl=0&preview=AWE1_DSC.csv&rlkey=aefi4orbk3a0ylmgey52kkdrz,11.2000 mg,05/07/2025 09:11
